Flight ID,Aircraft Type,Call Sign,Origin Airport Code,Destination Airport Code,Latitude,Longitude,Altitude,Speed,Heading,Time Stamp,CO2 Emissions,Fuel Consumption,Noise Levels,Weather Conditions,Flight Duration,Delay,Airline Name,Passenger Count,Cargo Weight,Country or Region,Flight Path,Airport Name,Aircraft Age,Fuel Efficiency,Sector Type,Airspace
FL000001,Embraer 190,CS6972,SFO,MIA,89.407312,-161.246701,30706,407,289,2023-07-27T16:15:42.756423,2.46,2527.87,98.88,Clear,11.18,118,American Airlines,168,1038.27,UK,WP821-WP698-WP400,Airport 70,15,1.86,Domestic,Europe
FL000002,Boeing 777,CS8155,ORD,DEN,-22.193446,78.00745,31040,269,80,2022-08-09T02:37:36.979550,3.59,1743.88,81.24,Stormy,1.7,106,American Airlines,260,1194.94,Canada,WP466-WP643-WP992,Airport 72,14,0.23,International,Africa
FL000003,Airbus A320,CS2930,SFO,MIA,45.177797,-23.34241,18825,301,109,2023-06-13T15:56:59.656838,1.36,1211.84,91.05,Stormy,10.85,95,Alaska Airlines,155,1688.46,USA,WP607-WP259-WP452,Airport 39,13,1.41,Domestic,South America
FL000004,Embraer 190,CS8892,SFO,ORD,65.998571,-82.81664,1336,417,198,2022-04-04T10:32:08.773159,2.59,3951.19,83.12,Stormy,10.02,56,American Airlines,91,467.56,UK,WP235-WP111-WP152,Airport 23,1,0.7,Domestic,Europe
FL000005,Boeing 737,CS9741,MIA,SFO,50.832963,30.236101,30448,253,43,2023-10-05T08:24:31.864354,3.25,2671.82,57.59,Stormy,6.19,37,Delta Air Lines,79,1639.17,UK,WP561-WP557-WP202,Airport 6,25,1.6,Domestic,Europe
FL000006,Boeing 737,CS9687,SEA,PHX,-6.325846,-136.380962,16150,373,187,2023-08-13T00:23:39.475241,2.54,4486.21,67.48,Rainy,10.43,32,United Airlines,189,1258.51,UK,WP295-WP501-WP149,Airport 16,21,1.97,Domestic,Africa
FL000007,Boeing 737,CS2331,LAX,ATL,55.885488,-31.889175,32408,466,19,2022-02-11T04:42:15.258082,1.5,1702.28,79.78,Stormy,7.37,83,American Airlines,86,1752.52,USA,WP290-WP264-WP880,Airport 19,18,0.75,International,Asia
FL000008,Boeing 777,CS6187,ATL,ATL,-72.737684,-169.258725,35558,357,94,2022-03-13T19:15:09.219330,1.3,4927.54,63.05,Snowy,11.39,12,United Airlines,292,1728.71,Germany,WP349-WP311-WP305,Airport 17,8,0.54,Domestic,Asia
FL000009,Airbus A320,CS3575,PHX,LAX,69.035324,60.922823,36633,216,152,2023-08-03T17:51:21.139731,2.72,4543.01,76.18,Snowy,8.17,91,Southwest Airlines,227,1384.08,Mexico,WP591-WP427-WP882,Airport 50,20,0.25,Domestic,Africa
FL000010,Boeing 737,CS2252,JFK,DEN,45.938022,-24.76572,9200,574,116,2023-04-15T21:33:04.251007,3.73,4304.08,87.67,Rainy,1.93,55,United Airlines,235,1713.11,Germany,WP441-WP549-WP172,Airport 94,1,1.56,Domestic,Asia
FL000011,Embraer 190,CS3574,SFO,MIA,85.616989,-110.419561,35521,246,269,2022-03-11T02:25:40.341119,4.4,2323.44,62.13,Clear,9.57,22,Alaska Airlines,129,1014.63,USA,WP201-WP775-WP676,Airport 85,14,1.35,International,Asia
FL000012,Embraer 190,CS1113,DFW,DFW,5.243783,-38.721841,15781,420,91,2022-01-09T14:21:20.464922,4.77,3418.25,66.47,Snowy,11,51,Delta Air Lines,167,318.7,Canada,WP736-WP763-WP191,Airport 72,12,1.55,Domestic,South America
FL000013,Boeing 777,CS5800,DEN,MIA,-6.090309,-72.344769,29921,254,334,2023-12-28T03:38:54.347960,3.44,4520.93,57.24,Snowy,5.52,91,American Airlines,240,1817.62,USA,WP359-WP517-WP477,Airport 36,29,1.1,Domestic,Africa
FL000014,Embraer 190,CS2026,DEN,DEN,-32.787145,86.857132,39736,477,28,2023-05-13T05:16:19.129580,4.55,1047.18,66.08,Clear,8.44,8,United Airlines,171,1469.48,UK,WP351-WP959-WP995,Airport 89,19,1.99,International,South America
FL000015,Embraer 190,CS9930,ATL,ORD,76.528391,-1.95497,25697,352,72,2022-04-26T17:39:28.647943,4.64,1994.52,54.52,Snowy,3.46,1,American Airlines,60,98.58,Mexico,WP365-WP422-WP711,Airport 86,27,1.9,International,North America
FL000016,Embraer 190,CS2457,ORD,DFW,49.711126,-162.089063,28614,427,188,2022-07-21T13:16:56.741210,3.82,3217.18,74.01,Stormy,6.13,66,Alaska Airlines,132,1223.48,USA,WP829-WP867-WP824,Airport 47,29,0.74,Domestic,North America
FL000017,Boeing 777,CS2792,DEN,ATL,86.971935,74.238202,26795,517,292,2022-09-28T17:24:35.243468,4.86,4279.42,58.64,Snowy,2.79,108,American Airlines,237,57.27,Germany,WP244-WP999-WP479,Airport 36,14,0.23,International,Asia
FL000018,Embraer 190,CS2907,PHX,JFK,12.490162,127.357435,25274,269,166,2022-02-11T15:02:19.601672,3.09,2110.41,95.82,Stormy,5.16,110,United Airlines,144,349.66,Mexico,WP332-WP189-WP151,Airport 56,30,0.39,International,North America
FL000019,Embraer 190,CS5067,DEN,JFK,-5.54613,-81.64344,31925,449,333,2023-02-26T16:33:11.208729,4.83,2830.4,81.41,Rainy,1.74,120,Southwest Airlines,238,1202.87,USA,WP796-WP387-WP864,Airport 44,8,1.42,International,South America
FL000020,Boeing 737,CS8462,DFW,LAX,14.600724,110.320638,32963,389,51,2023-12-24T15:54:44.737673,1.92,3686.01,61.53,Rainy,10.63,120,Southwest Airlines,146,1842.22,USA,WP463-WP421-WP291,Airport 56,18,0.36,Domestic,Africa
FL000021,Boeing 737,CS5917,DEN,MIA,-6.820212,-172.995864,36602,488,243,2023-11-22T09:01:31.925301,2.49,2642.83,92.04,Stormy,9.02,6,Delta Air Lines,201,895.06,USA,WP727-WP430-WP829,Airport 6,30,1.12,Domestic,Africa
FL000022,Boeing 777,CS6973,SEA,JFK,20.070182,3.668925,15754,326,151,2023-05-30T15:58:49.154311,2.82,1116.55,78.45,Stormy,4.61,79,Alaska Airlines,79,1196.27,Mexico,WP455-WP922-WP465,Airport 17,12,0.9,International,North America
FL000023,Boeing 737,CS8911,DEN,DFW,6.270569,28.405736,37028,319,81,2023-09-16T03:30:21.268178,3.02,4943.08,66.06,Clear,3.05,110,Alaska Airlines,218,1153.19,USA,WP128-WP957-WP490,Airport 31,4,0.93,International,South America
FL000024,Boeing 777,CS7029,ORD,DEN,-51.116918,-66.637618,34801,493,12,2023-09-24T01:19:18.720220,3.99,3225.4,64.01,Rainy,5.46,100,American Airlines,264,1960.47,Canada,WP199-WP339-WP249,Airport 33,13,0.68,Domestic,North America
FL000025,Embraer 190,CS8809,DEN,JFK,11.23832,-176.647314,21709,500,63,2022-11-08T20:41:10.345612,2.97,1956.96,98.78,Snowy,10,25,American Airlines,99,957.83,Mexico,WP702-WP182-WP579,Airport 65,3,1.28,International,Asia
FL000026,Airbus A320,CS3997,JFK,DEN,-28.914656,-125.481984,30655,487,17,2022-02-26T14:52:21.892340,4.63,2109.66,76.72,Cloudy,3.45,13,Delta Air Lines,62,1224.51,Germany,WP233-WP343-WP840,Airport 52,28,2,Domestic,North America
FL000027,Boeing 777,CS8569,DFW,DFW,-18.409447,160.461597,19793,485,252,2023-07-04T13:28:24.940017,3.63,1888.63,96.07,Cloudy,1.5,78,Southwest Airlines,95,332.26,USA,WP483-WP837-WP767,Airport 89,1,0.83,Domestic,Europe
FL000028,Boeing 737,CS3612,SEA,ORD,0.466408,143.20288,34363,353,264,2022-11-01T15:05:37.359943,2.28,4818.41,57.42,Rainy,6.08,65,American Airlines,148,4.31,Mexico,WP641-WP378-WP786,Airport 46,25,1.17,Domestic,Asia
FL000029,Airbus A320,CS3925,LAX,SFO,-24.327923,128.880607,31666,263,58,2023-02-01T22:34:35.306478,2.09,3582.98,86.03,Clear,7.16,19,Southwest Airlines,62,846.81,Mexico,WP548-WP792-WP425,Airport 41,16,0.58,Domestic,Africa
FL000030,Boeing 777,CS6321,DFW,JFK,35.748042,-140.024133,14620,314,48,2022-03-02T16:00:34.924843,3.32,4877.79,89.39,Rainy,1.2,73,United Airlines,102,14.47,USA,WP504-WP728-WP911,Airport 95,29,0.54,Domestic,Asia
